Date,Label,Value,Type
2024-10-01,CHQ N.4686295,80.00,CHQ
2024-10-02,30/09/24 DELIVEROO,-49.98,CARD
2024-10-07,05/10/24 GOUPILOU,-5.60,CARD
2024-10-07,05/10/24 INTER GARDENIA 9,-41.90,CARD
2024-10-07,07/10/24 LANDEMAINE 2,-1.40,CARD
2024-10-08,07/10/24 YVES ROCHER,-29.75,CARD
2024-10-08,08/10/24 PHARMACIE GEORGEZ,-18.98,CARD
2024-10-11,10/10/24 TOUR CBX 4,-20.00,CARD
2024-10-11,11/10/24 BOUCHERIE ORNAI,-17.92,CARD
2024-10-14,12/10/24 CARREFOUR CITY,-8.07,CARD
2024-10-14,11/10/24 MONOPRIX 4,-18.87,CARD
2024-10-14,13/10/24 CARREFOUR CITY,-3.28,CARD
2024-10-14,12/10/24 MONOPRIX,-94.22,CARD
2024-10-14,11/10/24 BOULANGERIE ZIAD,-14.6
